   ,CRADNO,QHAREAID,SEX,AGEGROUP,NUM,qu
1,44,440303002,1,30,681,440303
2,44,440303002,1,40,286,440303
3,36,440303002,1,15,116,440303
4,44,440303002,1,25,1015,440303
5,42,440303002,1,30,176,440303
6,43,440303002,2,25,592,440303
7,36,440303002,1,30,116,440303
8,42,440303002,2,25,517,440303
9,44,440303002,1,65,28,440303
10,22,440303002,2,40,16,440303
11,51,440303002,2,50,71,440303
12,51,440303002,2,25,251,440303
13,44,440303002,2,45,182,440303
14,23,440303002,1,20,49,440303
15,45,440303002,1,40,62,440303
16,36,440303002,1,35,105,440303
17,无,440303002,2,0,51,440303
18,13,440303002,1,30,15,440303
19,44,440303002,1,35,355,440303
20,23,440303002,1,40,28,440303
21,65,440303002,1,45,6,440303
22,52,440303002,2,30,59,440303
23,22,440303002,1,30,29,440303
24,41,440303002,2,15,55,440303
25,44,440303002,2,50,138,440303
26,34,440303002,1,25,87,440303
27,42,440303002,1,10,14,440303
28,35,440303002,1,35,37,440303
29,36,440303002,1,5,15,440303
30,42,440303002,2,40,120,440303
31,41,440303002,2,30,110,440303
32,13,440303002,1,20,22,440303
33,52,440303002,2,40,24,440303
34,51,440303002,2,35,114,440303
35,41,440303002,2,40,52,440303
36,43,440303002,2,10,14,440303
37,41,440303002,1,15,71,440303
38,33,440303002,2,20,24,440303
39,53,440303002,1,35,5,440303
40,23,440303002,1,25,91,440303
41,37,440303002,1,35,24,440303
42,45,,2,20,213,
43,15,440303002,1,20,15,440303
44,34,440303002,1,15,13,440303
45,43,440303002,1,60,15,440303
46,44,,1,15,380,
47,13,440303002,2,25,27,440303
48,31,440303002,2,50,1,440303
49,41,440303002,2,45,41,440303
50,62,440303002,2,25,32,440303
51,11,440303002,1,50,8,440303
52,21,440303002,2,55,11,440303
53,13,440303002,1,40,8,440303
54,61,440303002,1,30,31,440303
55,41,440303002,1,5,12,440303
56,33,440303002,1,20,20,440303
57,41,440303002,2,55,9,440303
58,42,440303002,2,60,28,440303
59,37,440303002,2,50,4,440303
60,61,440303002,1,55,2,440303
61,34,440303002,2,5,5,440303
62,42,440303002,2,70,5,440303
63,51,440303002,2,75,2,440303
64,51,440303002,1,55,27,440303
65,36,440303002,2,60,10,440303
66,无,440303002,1,70,2,440303
67,65,440303002,1,30,5,440303
68,33,440303002,2,35,15,440303
69,35,440303002,2,65,3,440303
70,21,440303002,1,20,27,440303
71,35,440303002,2,50,9,440303
72,43,,2,25,362,
73,42,440303002,2,1,6,440303
74,37,,1,45,4,
75,36,440303002,2,10,10,440303
76,50,,1,20,60,
77,34,440303002,2,1,5,440303
78,22,,2,30,7,
79,35,440303002,1,1,7,440303
80,88,440303002,1,5,1,440303
81,64,440303002,2,45,1,440303
82,41,,2,40,24,
83,12,440303002,2,20,2,440303
84,无身,440303002,1,1,1,440303
85,32,440303002,2,40,15,440303
86,34,440303002,2,40,18,440303
87,46,440303002,1,45,5,440303
88,42,,1,20,194,
89,61,440303002,2,80,1,440303
90,44,440303004,1,30,733,440303
91,46,440303002,2,5,2,440303
92,44,440307003,2,40,479,440307
93,不详,440303002,2,60,1,440303
94,62,440303002,2,5,4,440303
95,15,440303002,1,30,4,440303
96,21,440303002,1,65,3,440303
97,13,440303002,1,10,1,440303
98,52,440303002,1,75,1,440303
99,14,440303002,2,15,5,440303
100,33,440303002,2,55,2,440303
101,45,,1,25,295,
102,52,440303002,2,5,1,440303
103,45,440303002,2,80,1,440303
104,34,,2,40,14,
105,43,440303002,2,65,12,440303
106,无,440303002,2,15,1,440303
107,65,440303002,1,70,1,440303
108,62,440303002,2,50,6,440303
109,15,440303002,2,1,3,440303
110,37,440303002,1,10,3,440303
111,14,440303002,2,60,2,440303
112,42,440303002,1,0,3,440303
113,19,440303002,1,40,1,440303
114,14,440303002,1,5,1,440303
115,50,440303002,2,1,3,440303
116,51,,2,25,90,
117,63,440303002,2,1,2,440303
118,"无
",440303002,2,0,1,440303
119,无身,440303002,1,5,1,440303
120,11,440303002,2,65,1,440303
121,44,440303004,1,20,1819,440303
122,61,,1,15,17,
123,61,440303002,2,5,2,440303
124,42,440303002,1,70,3,440303
125,21,440304007,2,35,17,440304
126,51,440303002,1,75,2,440303
127,41,440305004,2,30,91,440305
128,42,,2,55,18,
129,45,,2,30,170,
130,23,440303002,1,10,3,440303
131,36,,1,15,70,
132,19,440303002,1,30,1,440303
133,41,,1,20,128,
134,45,,2,50,13,
135,12,440303002,1,75,1,440303
136,12,440303002,1,0,1,440303
137,44,440326003,1,20,6524,440326
138,31,440303002,1,60,1,440303
139,50,440303002,2,0,1,440303
140,"无
",440303002,1,10,1,440303
141,44,440307002,2,15,2111,440307
142,44,440303001,1,35,512,440303
143,44,440303001,2,5,273,440303
144,42,440303001,2,20,196,440303
145,51,440308003,1,30,51,440308
146,44,440303001,1,15,708,440303
147,41,440303001,1,40,72,440303
148,52,440303002,2,55,2,440303
149,41,,1,40,70,
150,21,440303002,2,0,1,440303
151,41,440309002,2,25,2299,440309
152,45,440307002,2,15,170,440307
153,无身,440303002,1,0,2,440303
154,43,440303001,2,45,74,440303
155,51,440303001,2,35,106,440303
156,44,440303001,2,20,1174,440303
157,34,440307011,1,35,1,440307
158,33,440303002,2,65,1,440303
159,41,440303001,1,30,74,440303
160,64,440303001,1,25,3,440303
161,13,440303001,2,25,6,440303
162,61,440303001,1,30,21,440303
163,14,440303002,1,10,1,440303
164,不详,440303001,2,1,2,440303
165,51,440303001,2,40,187,440303
166,45,,2,45,21,
167,35,,2,25,22,
168,不祥,440303002,1,1,1,440303
169,23,440303001,2,30,33,440303
170,51,440303001,1,10,21,440303
171,43,440303001,2,40,78,440303
172,35,440303002,2,0,1,440303
173,36,440303002,1,80,1,440303
174,42,440303001,1,70,9,440303
175,32,440303001,2,25,19,440303
176,52,,2,35,27,
177,36,440303001,2,45,70,440303
178,42,440303001,1,15,38,440303
179,无,440303001,2,65,6,440303
180,44,440303001,1,70,23,440303
181,36,440303001,2,15,45,440303
182,36,440303001,2,5,25,440303
183,43,440303001,1,40,95,440303
184,34,440303001,2,45,16,440303
185,34,440303001,1,25,42,440303
186,12,440303001,2,60,2,440303
187,23,440303001,1,15,9,440303
188,13,440303001,2,30,15,440303
189,，，,440303001,1,0,6,440303
190,62,440303001,1,70,2,440303
191,62,440303001,1,30,11,440303
192,22,440303001,1,40,22,440303
193,无,440303001,1,85,2,440303
194,34,440303001,1,60,8,440303
195,51,440303001,2,75,4,440303
196,无身,440303001,1,0,5,440303
197,21,440303001,1,10,6,440303
198,31,440303001,1,35,2,440303
199,21,440303001,2,80,2,440303
200,51,440303001,2,15,48,440303
201,无,440303001,2,60,16,440303
202,35,440303001,1,55,6,440303
203,21,440303001,1,35,11,440303
204,13,440303001,1,25,10,440303
205,23,440303001,1,35,23,440303
206,35,440303001,2,25,31,440303
207,15,440303001,1,45,7,440303
208,15,440303001,1,20,6,440303
209,13,440303001,2,0,1,440303
210,22,440303001,2,35,19,440303
211,无,440303001,2,70,7,440303
212,23,440303001,1,60,8,440303
213,13,440303001,1,80,2,440303
214,35,440303001,2,60,4,440303
215,37,440303001,2,5,7,440303
216,50,440303001,1,30,11,440303
217,62,440303001,2,65,4,440303
218,65,440303001,2,35,5,440303
219,33,440303001,2,70,1,440303
220,41,440303001,2,50,18,440303
221,22,440303001,2,5,8,440303
222,32,440303001,2,15,4,440303
223,33,440303001,2,55,4,440303
224,37,440303001,1,45,10,440303
225,33,440303001,2,5,5,440303
226,33,440303001,2,40,11,440303
227,32,440303001,2,55,6,440303
228,46,440303001,1,50,3,440303
229,13,440303001,1,1,4,440303
230,15,440303001,2,40,5,440303
231,？,440303001,2,1,5,440303
232,无,440303001,1,15,9,440303
233,34,440303001,2,10,7,440303
234,13,440303001,2,15,3,440303
235,13,440303001,1,60,27,440303
236,62,440303001,1,5,1,440303
237,61,440303001,1,65,4,440303
238,0,440303001,2,1,6,440303
239,53,440303001,1,1,4,440303
240,33,440303001,2,15,2,440303
241,33,440303001,1,50,6,440303
242,11,440303001,2,45,4,440303
243,53,440303001,1,40,6,440303
244,11,440303001,2,60,4,440303
245,11,440303001,1,35,1,440303
246,13,440303001,2,80,1,440303
247,21,440303001,1,20,8,440303
248,无,440303001,1,75,3,440303
249,20,440303001,2,0,1,440303
250,34,440303001,2,75,1,440303
251,不祥,440303001,1,1,1,440303
252,33,440303001,1,20,9,440303
253,62,440303001,1,55,1,440303
254,61,440303001,2,55,8,440303
255,62,440303001,1,75,3,440303
256,42,440303001,1,0,1,440303
257,37,440303001,1,55,4,440303
258,21,440303001,2,60,5,440303
259,11,440303001,2,1,1,440303
260,53,440303001,2,1,2,440303
261,未入,440303001,2,1,2,440303
262,37,440303001,1,15,2,440303
263,22,440303001,1,70,2,440303
264,23,440303001,1,80,1,440303
265,其它,440303001,2,1,1,440303
266,53,440303001,1,5,1,440303
267,32,440303001,2,5,2,440303
268,15,440303001,2,50,2,440303
269,14,440303001,1,1,1,440303
270,11,440303001,1,25,1,440303
271,元,440303001,2,75,1,440303
272,33,440303001,2,65,2,440303
273,无证,440303001,1,1,2,440303
274,53,440303001,2,55,2,440303
275,21,440303001,2,5,1,440303
276,63,440303001,2,25,1,440303
277,不祥,440303001,2,1,1,440303
278,21,440303001,2,15,1,440303
279,65,440303001,1,70,1,440303
280,44,440303007,1,5,273,440303
281,44,440303007,2,30,689,440303
282,51,440303007,2,50,56,440303
283,23,440303007,1,5,8,440303
284,44,440303007,2,5,211,440303
285,44,440303007,2,50,282,440303
286,13,440303007,2,50,4,440303
287,46,440303001,2,15,2,440303
288,35,440303007,1,40,73,440303
289,46,440303007,1,25,10,440303
290,37,440303007,2,20,13,440303
291,44,440303007,1,80,21,440303
292,45,440303007,2,25,91,440303
293,无,440303007,2,0,58,440303
294,22,440303007,2,30,28,440303
295,36,440303007,2,30,88,440303
296,15,440303007,2,55,3,440303
297,36,440303007,1,30,84,440303
298,0,440303001,1,1,3,440303
299,20,440303001,1,5,2,440303
300,35,440303001,2,75,1,440303
301,43,440303007,1,20,105,440303
302,50,440303007,2,25,33,440303
303,35,440303007,2,30,97,440303
304,无号,440303001,2,5,1,440303
305,32,440303007,1,30,30,440303
306,42,440303007,1,1,9,440303
307,42,440303007,2,40,108,440303
308,62,440303007,1,20,18,440303
309,33,440303007,2,45,18,440303
310,44,440303007,1,70,44,440303
311,。,440303007,2,0,7,440303
312,45,440303007,1,1,8,440303
313,15,440303007,2,1,2,440303
314,51,440303007,2,20,73,440303
315,51,440303007,2,10,9,440303
316,23,440303007,2,10,3,440303
317,44,440303007,2,80,47,440303
318,32,440303007,2,40,15,440303
319,52,440303001,1,70,1,440303
320,62,440303001,1,80,1,440303
321,43,440303007,1,45,103,440303
322,50,440303007,2,20,34,440303
323,46,440303007,1,40,8,440303
324,22,440303007,1,20,12,440303
325,64,440303001,1,50,1,440303
326,0,440303001,1,10,1,440303
327,36,440303007,1,65,13,440303
328,15,440303007,1,40,6,440303
329,19,440303001,1,15,2,440303
330,31,440303001,1,70,1,440303
331,37,440303007,2,40,10,440303
332,61,440303007,2,30,28,440303
333,41,440303007,1,30,71,440303
334,未说,440303001,1,1,1,440303
335,35,440303007,2,50,28,440303
336,37,440303007,2,35,17,440303
337,36,440303007,2,1,17,440303
338,31,440303007,2,30,4,440303
339,33,440303007,2,5,8,440303
340,深圳,440303007,1,1,4,440303
341,51,440303007,1,35,55,440303
342,34,440303007,2,60,11,440303
343,21,440303007,2,35,19,440303
344,42,440303007,1,10,19,440303
345,41,440303007,2,1,7,440303
346,32,440303007,2,30,14,440303
347,11,440303001,2,35,1,440303
348,没办,440303001,2,0,1,440303
349,19,440303001,2,60,1,440303
350,52,440303007,1,10,6,440303
351,62,440303007,1,25,9,440303
352,41,440303007,2,70,4,440303
353,14,440303007,1,65,3,440303
354,65,440303007,2,45,5,440303
355,65,440303001,2,1,1,440303
356,65,440303007,1,60,1,440303
357,22,440303007,2,1,2,440303
358,53,440303007,1,5,1,440303
359,，,440303007,1,1,6,440303
360,20,440303007,2,1,9,440303
361,37,440303007,1,60,6,440303
362,34,440303007,2,40,25,440303
363,31,440303007,2,5,2,440303
364,43,440303007,1,75,11,440303
365,34,440303007,1,40,26,440303
366,32,440303007,1,5,4,440303
367,46,440303007,2,1,3,440303
368,33,440303007,2,40,24,440303
369,62,440303007,2,40,5,440303
370,61,440303007,1,50,6,440303
371,61,440303007,1,80,2,440303
372,35,440303007,2,70,4,440303
373,33,440303007,1,30,11,440303
374,21,440303007,2,65,4,440303
375,21,440303007,2,80,2,440303
376,23,440303007,2,80,1,440303
377,12,440303007,2,50,1,440303
378,35,440303007,1,55,8,440303
379,37,440303007,2,1,4,440303
380,未入,440303007,1,1,2,440303
381,50,440303007,2,0,1,440303
382,11,440303007,1,75,3,440303
383,34,440303007,2,70,6,440303
384,46,440303007,2,60,7,440303
385,46,440303007,1,20,11,440303
386,13,440303007,1,1,2,440303
387,33,440303007,2,65,5,440303
388,15,440303007,2,30,11,440303
389,50,440303007,2,5,6,440303
390,23,440303007,1,15,8,440303
391,12,440303007,1,55,1,440303
392,22,440303007,2,50,10,440303
393,15,440303007,1,5,2,440303
