date,district_code,Record_Count
2011-01-01,440307,1
2011-01-04,440309,1
2011-01-16,440307,1
2011-01-20,440305,1
2011-02-13,440307,1
2011-02-20,440307,1
2011-02-22,440307,1
2011-02-23,440306,1
2011-02-25,350481,1
2011-02-25,440304,1
2011-03-15,440306,1
2011-03-18,440307,1
2011-03-21,440307,2
2011-03-29,440304,1
2011-03-29,440305,1
2011-04-01,440307,1
2011-04-02,440307,1
2011-04-03,440307,1
2011-04-06,440307,1
2011-04-09,440307,1
2011-04-16,440307,1
2011-04-18,440307,1
2011-04-19,440305,1
2011-04-22,440307,2
2011-04-24,440307,1
2011-04-30,310199,1
2011-05-01,440306,1
2011-05-09,440307,1
2011-05-10,440307,1
2011-05-11,440307,1
2011-05-15,440307,3
2011-05-16,440306,1
2011-05-16,440307,1
2011-06-18,440304,1
2011-06-19,440304,1
2011-07-03,440306,1
2011-07-04,440307,1
2011-07-09,440304,1
2011-07-10,440233,1
2011-07-25,440305,1
2011-07-29,440305,1
2011-11-10,440307,1
2011-11-11,440307,1
2011-11-12,440303,5
2011-11-13,440303,8
2011-11-14,440303,1
2011-11-15,440303,2
2011-11-16,440303,2
2011-11-17,440307,1
2011-11-18,440307,3
2011-11-21,440307,4
2011-11-24,440305,3
2011-11-24,440307,1
2011-11-25,440305,2
2011-11-26,440305,5
2011-11-27,440305,2
2011-11-29,440305,4
2011-11-29,440307,1
2011-12-01,440305,2
2011-12-02,440305,5
2011-12-03,440305,1
2011-12-04,440305,6
2011-12-05,440305,2
2011-12-05,440307,1
2011-12-06,440307,1
2011-12-11,440307,1
2011-12-27,440305,1
2011-12-30,440307,1
2012-01-02,440307,1
2012-01-19,440307,1
2012-02-04,440304,1
2012-02-05,440307,2
2012-02-06,440307,2
2012-02-06,441303,1
2012-02-07,440307,1
2012-02-07,440310,1
2012-02-17,440303,2
2012-02-18,440303,3
2012-02-20,440303,1
2012-02-20,440306,1
2012-02-21,440303,1
2012-02-22,440303,1
2012-02-22,440306,1
2012-02-23,440303,4
2012-02-24,440306,1
2012-02-25,440307,1
2012-02-27,440303,1
2012-02-28,440303,1
2012-02-29,440303,1
2012-03-01,440303,1
2012-03-02,440303,3
2012-03-02,440304,1
2012-03-02,440306,1
2012-03-02,440310,1
2012-03-03,440303,2
2012-03-04,440303,1
2012-03-04,440306,1
2012-03-05,440303,10
2012-03-05,440307,1
2012-03-07,440303,1
2012-03-07,440307,3
2012-03-08,440307,1
2012-03-09,440306,1
2012-03-10,440304,1
2012-03-12,440307,4
2012-03-13,440306,1
2012-03-13,440307,2
2012-03-14,440307,1
2012-03-15,440306,1
2012-03-15,440307,1
2012-03-16,440303,1
2012-03-16,440306,1
2012-03-17,440303,3
2012-03-18,440303,1
2012-03-18,440304,2
2012-03-18,440306,2
2012-03-19,440307,1
